date,AdrActCnt,CapMrktCurUSD
2013-09-01,57043,1519383296.7493238
2013-09-02,63738,1508777714.0791564
2013-09-03,72441,1504949277.878628
2013-09-04,75781,1427936118.6867604
2013-09-05,70530,1426628972.9631388
2013-09-06,75818,1374607454.7940052
2013-09-07,60406,1397829338.2760193
2013-09-08,55602,1377787522.4119706
2013-09-09,75151,1415770494.8897748
2013-09-10,70346,1427518920.9370587
2013-09-11,74178,1485069117.2457135
2013-09-12,78649,1482150941.6341968
2013-09-13,65832,1490131020.7568932
2013-09-14,53427,1455028244.730144
2013-09-15,54408,1464112002.333076
2013-09-16,70731,1477804868.9868808
2013-09-17,73646,1486482610.6092198
2013-09-18,77986,1487083041.575134
2013-09-19,80008,1455765886.6107984
2013-09-20,75867,1441617545.2549329
2013-09-21,66018,1449080977.3270447
2013-09-22,64347,1445208450.868873
2013-09-23,80171,1442810649.675497
2013-09-24,78410,1454407234.0333989
2013-09-25,79801,1452890630.833283
