date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-08-16,14521,545,3286556,6030.37798165138,0.61518677,171114059.59183586,278149770.7566927,54983.891847603096,0.005063699320788,0.018380557890855423,0.001,0.00362986755856489,17.22164139,62.51227738679936,1.48962892852176,13625.0,10.549562756706,49456.94548544663,13625.0,49456.94548544663,39.06306278,21.617662786806477,0.00627554270660433,3.62986755856489,-9.261961632272524,-13.813779468755113,47140579.32722147,3401,15340,1206781.44460989,4380456.816067511,384.895305111725,1397.1189814689853,0.011718225,0.04253560477146406,5904293.98041386,21431805.175734233,0.03185616558762213,0.02143007750921133,0.0419161828916189
2016-08-17,12536,508,2726168,5366.47244094488,0.61149642,170064840.04844156,278112570.22836906,54983.891847603096,0.0046292232959709205,0.01669593569334903,0.001,0.00360663865747856,15.281066099999999,55.11328372374513,1.3884981572276203,12700.0,9.83070544856874,45804.31094997771,12700.0,45804.31094997771,41.90208994,21.588634105642637,0.006287025618351845,3.6066386574785603,6.4539389993669065,-13.69437893517145,47153279.32722147,3301,11675,1125320.46485275,4058624.2905896716,505.603659367788,1823.5297032384858,0.069047,0.2490275793829221,5902922.72311892,21289709.28530931,0.03185999314148081,0.021425220919615687,0.04191619717317799
2016-08-18,11471,549,2037871,3711.9690346083794,0.61078124,169868835.08519828,278117308.1213676,51339.290643050095,0.00422104069418386,0.015201797862630293,0.001,0.00360143361886483,13.49888814,48.61534956469172,1.4010973992725102,13725.0,10.6210370394645,49429.67641891979,13725.0,49429.67641891979,42.41284465,21.645299932641173,0.006282338843950909,3.60143361886483,3.0580338939834446,-13.387167082658484,47167004.32722147,3198,12818,1112092.45008424,4005127.13701914,291.763276568555,1050.7660729841512,0.021303215,0.07672211469090554,3739821.67905574,13468719.523510857,0.03138539056417584,0.021434535398277426,0.041909775398121185
2016-08-19,8451,639,2238449,3503.05007824726,0.61010337,169695178.87237033,278141683.5697497,50566.924824866604,0.0045763889653016605,0.016459137492582317,0.001,0.00359653377747741,14.639868300000002,52.65278083877078,1.60625140365923,15975.0,12.358005117824302,57454.62709520161,15975.0,57454.62709520161,57.38723872,21.67613614226404,0.006266191791153654,3.5965337774774104,-0.6473943989612556,-12.975779994923606,47182979.32722147,3199,8704,822185.91411352,2957019.411475416,330.63045033508996,1189.1235824927185,0.85,3.0570537108557985,2877807.43971662,10350131.662016608,0.03138340908996963,0.021442012835914192,0.040947433306470056
2016-08-20,14701,601,2912083,4845.39600665557,0.61227664,170358807.6839795,278238295.14608556,50566.924824866604,0.0056121346241290795,0.020256715866632326,0.001,0.0036094493848275898,15.30429112,55.24006416830635,1.5107309758985799,15025.0,11.6194001805221,54231.97700703453,15025.0,54231.97700703453,44.5929795,21.823320891023087,0.0062039662454704825,3.60944938482759,0.8382164170030857,-12.890690371157136,47198004.32722147,2727,12692,1058417.82405424,3820305.5639231335,235.270521727127,849.1970399160447,0.01104481,0.03986568266003762,2986053.4617607,10778008.830614453,0.03138155390160303,0.02145413097618664,0.040379660822012886
2016-08-21,16560,610,2812687,4610.96229508197,0.6116210999999999,170180474.54865015,278244935.69869965,51691.9522747634,0.0059332180028996,0.02138632190731832,0.001,0.00360450633987605,16.36974847,59.00486214229128,1.56746874000887,15250.0,11.7895918832918,54968.721683109754,15250.0,54968.721683109754,46.35143547,21.849697469042873,0.006206189383985982,3.6045063398760497,1.4326158346462583,-10.501975531632013,47213254.32722147,2759,15012,1018593.14278257,3671525.440914043,193.241341586563,696.5396408749198,0.01,0.0360450633987605,2900939.01989748,10456453.088814283,0.031334689329710674,0.020981612738836548,0.029673179702612806
2016-08-22,13877,622,2779644,4468.88102893891,0.62327484,173414665.81822246,278231456.86572886,52958.098150431906,0.00671416518630137,0.02465306349836392,0.001,0.00367179877383156,24.50670293,89.9836817690283,1.63745315231708,15550.0,12.0175602174384,57096.47093308076,15550.0,57096.47093308076,39.30546363,22.327107238677723,0.0062768806298881845,3.67179877383156,7.064223301952327,-9.686328632909431,47228804.32722147,3650,14712,1201583.69781543,4411973.548294688,286.75830036677,1052.9187756727283,0.020956015,0.07694627018139578,4218788.11499592,15490541.02769718,0.031351558443063296,0.021241053871975567,0.029762348496272524
2016-08-23,12178,588,3733167,6348.92346938776,0.66603055,185660308.23511976,278756446.1214403,52958.098150431906,0.0039051401787905298,0.015346650076460184,0.001,0.00392985894842147,22.27882472,87.55263868620547,1.5479460668206497,14700.0,11.357116870156501,57768.926541795605,14700.0,57768.926541795605,16.30286048,23.79102806810174,0.006745059716026473,3.92985894842147,29.864895766566896,-3.4111323956936532,47243504.32722147,5705,14495,2897865.95417422,11388204.451337483,904.215689962511,3553.4401205022673,3.0,11.789576845264412,13106606.4260066,51507114.54668038,0.031751395301844745,0.02491568652892475,0.0281262057695532
2016-08-24,11322,568,3202584,5638.35211267606,0.65110307,181447095.02047646,278676454.5966333,53119.4158412265,0.00539763738019169,0.02072435884376148,0.001,0.00383952410730961,23.652447,90.81414045336287,1.49984971493233,14200.0,10.9675238647055,54521.24232379646,14200.0,54521.24232379646,26.50282788,23.273404805898476,0.006634719119828344,3.8395241073096096,27.980187940317226,-4.905205929420187,47257704.32722147,4382,12896,1783119.31640914,6846329.601562325,586.970281982493,2253.686547946101,0.336510015,1.292038314943618,7569568.75644623,29063541.72231292,0.03178535293645271,0.025216863198995625,0.028251937787184492
2016-08-25,9191,553,2302603,4163.8390596745,0.64349988,179302147.5421548,278635869.1687852,54828.0664845407,0.00673273994079655,0.025537458749668472,0.001,0.0037930261638246397,25.01886162,94.89719671376811,1.50721143642443,13825.0,10.6747657031992,52438.586714875644,13825.0,52438.586714875644,26.41283968,23.357529843012234,0.006584732626459513,3.79302616382464,28.36818824250453,-4.378385586623294,47271529.32722147,3716,11388,1789717.7997981003,6788446.440496863,664.786081848815,2521.551001799024,0.453751885,1.7210927716897493,7570583.90009431,28715422.808487296,0.03179977080803803,0.02511571351031976,0.027687130107621676
